"album_name","album_release","track_number","track_name","danceability","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","explicit"
"Red (Taylor's Version)",2021-11-12,6,"22 (Taylor's Version)",0.642,0.695,0.274157417192788,1,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,FALSE
"Red (Taylor's Version)",2021-11-12,7,"I Almost Do (Taylor's Version)",0.511,0.559,0.2194320194629,1,0.0264,0.0167,0,0.113,0.248,145.88,FALSE
"Red (Taylor's Version)",2021-11-12,8,"We Are Never Ever Getting Back Together (Taylor's Version)",0.567,0.686,0.24327641092247,1,0.175,0.0317,1.86e-06,0.0732,0.716,172.014,FALSE
"Red (Taylor's Version)",2021-11-12,9,"Stay Stay Stay (Taylor's Version)",0.693,0.681,0.19774249066066,1,0.025,0.0848,0,0.0768,0.663,100.02,FALSE
"Red (Taylor's Version)",2021-11-12,10,"The Last Time (Taylor's Version)",0.502,0.534,0.253863346062737,1,0.0278,0.0399,0,0.0977,0.155,94.05,FALSE
"Red (Taylor's Version)",2021-11-12,11,"Holy Ground (Taylor's Version)",0.622,0.809,0.273968101353102,1,0.0638,0.0288,0.00218,0.109,0.511,156.894,FALSE
"Red (Taylor's Version)",2021-11-12,12,"Sad Beautiful Tragic (Taylor's Version)",0.601,0.406,0.0656598671978357,1,0.0275,0.622,9.19e-05,0.133,0.232,130.059,FALSE
"Red (Taylor's Version)",2021-11-12,13,"The Lucky One (Taylor's Version)",0.686,0.571,0.193285822619974,1,0.05,0.066,0,0.0608,0.538,117.889,FALSE
"Red (Taylor's Version)",2021-11-12,14,"Everything Has Changed (Taylor's Version)",0.498,0.61,0.30917188938917,1,0.0363,0.271,0,0.223,0.474,79.918,FALSE
"Red (Taylor's Version)",2021-11-12,15,"Starlight (Taylor's Version)",0.628,0.685,0.259179113461595,1,0.0358,0.00324,0,0.18,0.605,126.014,FALSE
"Red (Taylor's Version)",2021-11-12,16,"Begin Again (Taylor's Version)",0.519,0.527,0.170883448624908,1,0.0274,0.075,0,0.132,0.267,78.915,FALSE
"Red (Taylor's Version)",2021-11-12,17,"The Moment I Knew (Taylor's Version)",0.636,0.402,0.163870206128463,1,0.031,0.0494,0,0.107,0.208,125.952,FALSE
"Red (Taylor's Version)",2021-11-12,18,"Come Back...Be Here (Taylor's Version)",0.46,0.632,0.249402039140518,1,0.0302,0.0158,0,0.0822,0.399,79.846,FALSE
"Red (Taylor's Version)",2021-11-12,19,"Girl At Home (Taylor's Version)",0.691,0.736,0.200724322164329,1,0.0326,0.00955,1.88e-05,0.101,0.612,125.089,FALSE
"Red (Taylor's Version)",2021-11-12,20,"State Of Grace (Acoustic Version) [Taylor's Version]",0.445,0.131,0.0418986471096769,1,0.0564,0.663,1.57e-06,0.108,0.101,208.918,FALSE
"Red (Taylor's Version)",2021-11-12,21,"Ronan (Taylor's Version)",0.623,0.279,0.0831380817915622,1,0.031,0.661,0,0.193,0.38,116.04,FALSE
"Red (Taylor's Version)",2021-11-12,22,"Better Man (Taylor's Version) [From The Vault]",0.473,0.579,0.261577268271911,1,0.0384,0.214,0,0.0877,0.255,73.942,FALSE
"Red (Taylor's Version)",2021-11-12,23,"Nothing New (Taylor's Version) [From The Vault]",0.606,0.377,0.113370483810541,1,0.0275,0.817,0,0.154,0.446,101.96,FALSE
"Red (Taylor's Version)",2021-11-12,24,"Babe (Taylor's Version) [From The Vault]",0.584,0.743,0.196110117547605,1,0.0931,0.0538,2.83e-06,0.121,0.746,167.844,FALSE
"Red (Taylor's Version)",2021-11-12,25,"Message In A Bottle (Taylor's Version) [From The Vault]",0.622,0.791,0.245131995154342,1,0.0535,0.00188,3.72e-06,0.083,0.494,115.915,FALSE
"Red (Taylor's Version)",2021-11-12,26,"I Bet You Think About Me (Taylor's Version) [From The Vault]",0.391,0.715,0.353508613361997,1,0.0495,0.167,0,0.183,0.473,149.654,TRUE
"Red (Taylor's Version)",2021-11-12,27,"Forever Winter (Taylor's Version) [From The Vault]",0.611,0.552,0.261336457618902,1,0.031,0.256,0,0.134,0.41,116.012,FALSE
"Red (Taylor's Version)",2021-11-12,28,"Run (Taylor's Version) [From The Vault]",0.61,0.488,0.203329316146771,1,0.0293,0.817,0,0.312,0.443,125.039,FALSE
"Red (Taylor's Version)",2021-11-12,29,"The Very First Night (Taylor's Version) [From The Vault]",0.678,0.733,0.31441264202588,1,0.0281,0.00115,0,0.104,0.581,121.009,FALSE
"Red (Taylor's Version)",2021-11-12,30,"All Too Well (10 Minute Version) [Taylor's Version] [From The Vault]",0.631,0.518,0.13270888490465,1,0.0303,0.274,0,0.088,0.205,93.023,TRUE
"1989",2014-10-27,1,"Welcome To New York",0.789,0.634,0.334041172954573,1,0.0323,0.0348,1.64e-06,0.302,0.658,116.992,FALSE
"1989",2014-10-27,2,"Blank Space",0.76,0.703,0.287607362886303,1,0.054,0.103,0,0.0913,0.57,95.997,FALSE
"1989",2014-10-27,3,"Style",0.588,0.791,0.275740145234636,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,FALSE
"1989",2014-10-27,4,"Out Of The Woods",0.553,0.841,0.20244171135934,1,0.0396,0.000743,1.19e-05,0.341,0.338,92.008,FALSE
"1989",2014-10-27,5,"All You Had To Do Was Stay",0.605,0.725,0.26736219619998,1,0.0323,0.00201,2.02e-05,0.101,0.539,96.97,FALSE
"1989",2014-10-27,6,"Shake It Off",0.647,0.8,0.289467626417603,1,0.165,0.0647,0,0.334,0.942,160.078,FALSE
"1989",2014-10-27,7,"I Wish You Would",0.653,0.893,0.253162863912695,1,0.0538,0.0158,4.95e-05,0.102,0.513,118.035,FALSE
"1989",2014-10-27,8,"Bad Blood",0.646,0.794,0.245244908607202,1,0.19,0.0885,6.16e-06,0.201,0.287,170.216,FALSE
"1989",2014-10-27,9,"Wildest Dreams",0.55,0.688,0.181300916701702,1,0.0897,0.0692,0.00144,0.106,0.465,139.997,FALSE
"1989",2014-10-27,10,"How You Get The Girl",0.765,0.656,0.244793566619607,1,0.0504,0.00364,0.00868,0.0918,0.545,119.997,FALSE
"1989",2014-10-27,11,"This Love",0.481,0.435,0.131977531170712,1,0.0321,0.678,0,0.0928,0.107,143.95,FALSE
"1989",2014-10-27,12,"I Know Places",0.602,0.755,0.31688377271815,1,0.071,0.245,0,0.178,0.495,159.965,FALSE
"1989",2014-10-27,13,"Clean",0.815,0.377,0.167725849432935,1,0.0346,0.232,0,0.1,0.211,103.97,FALSE
"1989",2014-10-27,14,"Wonderland",0.422,0.692,0.285298836152072,1,0.0549,0.0493,2.57e-05,0.177,0.197,184.014,FALSE
"1989",2014-10-27,15,"You Are In Love",0.474,0.48,0.129003056421799,1,0.0622,0.707,0.000108,0.0903,0.319,170.109,FALSE
"1989",2014-10-27,16,"New Romantics",0.633,0.889,0.258821291515309,1,0.0715,0.00463,0.000458,0.0658,0.584,121.956,FALSE
"reputation",2017-11-10,1,"...Ready For It?",0.613,0.764,0.223408658105638,1,0.136,0.0527,0,0.197,0.417,160.015,FALSE
"reputation",2017-11-10,2,"End Game",0.649,0.589,0.237848271693862,1,0.0558,0.00845,0,0.108,0.151,159.073,FALSE
"reputation",2017-11-10,3,"I Did Something Bad",0.696,0.602,0.242325992409255,0,0.159,0.0679,2.11e-05,0.0696,0.305,82.989,FALSE
