"album_name","album_release","track_name","energy","loudness","mode","speechiness","acousticness","instrumentalness","valence","tempo","explicit"
"Red (Taylor's Version)",2021-11-12,"Message In A Bottle (Taylor's Version) [From The Vault]",0.791,-6.106,1,0.0535,0.00188,3.72e-06,0.494,115.915,FALSE
"Red (Taylor's Version)",2021-11-12,"I Bet You Think About Me (Taylor's Version) [From The Vault]",0.715,-4.516,1,0.0495,0.167,0,0.473,149.654,TRUE
"Red (Taylor's Version)",2021-11-12,"Forever Winter (Taylor's Version) [From The Vault]",0.552,-5.828,1,0.031,0.256,0,0.41,116.012,FALSE
"Red (Taylor's Version)",2021-11-12,"Run (Taylor's Version) [From The Vault]",0.488,-6.918,1,0.0293,0.817,0,0.443,125.039,FALSE
"Red (Taylor's Version)",2021-11-12,"The Very First Night (Taylor's Version) [From The Vault]",0.733,-5.025,1,0.0281,0.00115,0,0.581,121.009,FALSE
"Red (Taylor's Version)",2021-11-12,"All Too Well (10 Minute Version) [Taylor's Version] [From The Vault]",0.518,-8.771,1,0.0303,0.274,0,0.205,93.023,TRUE
"1989",2014-10-27,"Welcome To New York",0.634,-4.762,1,0.0323,0.0348,1.64e-06,0.658,116.992,FALSE
"1989",2014-10-27,"Blank Space",0.703,-5.412,1,0.054,0.103,0,0.57,95.997,FALSE
"1989",2014-10-27,"Style",0.791,-5.595,1,0.0402,0.00245,0.00258,0.487,94.933,FALSE
"1989",2014-10-27,"Out Of The Woods",0.841,-6.937,1,0.0396,0.000743,1.19e-05,0.338,92.008,FALSE
"1989",2014-10-27,"All You Had To Do Was Stay",0.725,-5.729,1,0.0323,0.00201,2.02e-05,0.539,96.97,FALSE
"1989",2014-10-27,"Shake It Off",0.8,-5.384,1,0.165,0.0647,0,0.942,160.078,FALSE
"1989",2014-10-27,"I Wish You Would",0.893,-5.966,1,0.0538,0.0158,4.95e-05,0.513,118.035,FALSE
"1989",2014-10-27,"Bad Blood",0.794,-6.104,1,0.19,0.0885,6.16e-06,0.287,170.216,FALSE
"1989",2014-10-27,"Wildest Dreams",0.688,-7.416,1,0.0897,0.0692,0.00144,0.465,139.997,FALSE
"1989",2014-10-27,"How You Get The Girl",0.656,-6.112,1,0.0504,0.00364,0.00868,0.545,119.997,FALSE
"1989",2014-10-27,"This Love",0.435,-8.795,1,0.0321,0.678,0,0.107,143.95,FALSE
"1989",2014-10-27,"I Know Places",0.755,-4.991,1,0.071,0.245,0,0.495,159.965,FALSE
"1989",2014-10-27,"Clean",0.377,-7.754,1,0.0346,0.232,0,0.211,103.97,FALSE
"1989",2014-10-27,"Wonderland",0.692,-5.447,1,0.0549,0.0493,2.57e-05,0.197,184.014,FALSE
"1989",2014-10-27,"You Are In Love",0.48,-8.894,1,0.0622,0.707,0.000108,0.319,170.109,FALSE
"1989",2014-10-27,"New Romantics",0.889,-5.87,1,0.0715,0.00463,0.000458,0.584,121.956,FALSE
"reputation",2017-11-10,"...Ready For It?",0.764,-6.509,1,0.136,0.0527,0,0.417,160.015,FALSE
"reputation",2017-11-10,"End Game",0.589,-6.237,1,0.0558,0.00845,0,0.151,159.073,FALSE
"reputation",2017-11-10,"I Did Something Bad",0.602,-6.156,0,0.159,0.0679,2.11e-05,0.305,82.989,FALSE
"reputation",2017-11-10,"Don't Blame Me",0.534,-6.719,0,0.0386,0.106,1.76e-05,0.193,135.917,FALSE
"reputation",2017-11-10,"Delicate",0.404,-10.178,0,0.0682,0.216,0.000357,0.0499,95.045,FALSE
"reputation",2017-11-10,"Look What You Made Me Do",0.709,-6.471,0,0.123,0.204,1.41e-05,0.506,128.07,FALSE
"reputation",2017-11-10,"So It Goes...",0.61,-7.283,1,0.0732,0.122,1.1e-06,0.374,74.957,FALSE
"reputation",2017-11-10,"Gorgeous",0.535,-6.684,1,0.135,0.0713,9.48e-06,0.451,92.027,FALSE
"reputation",2017-11-10,"Getaway Car",0.689,-6.745,1,0.127,0.00465,2.23e-06,0.351,172.054,FALSE
"reputation",2017-11-10,"King Of My Heart",0.703,-7.902,1,0.0382,0.00882,2.21e-06,0.314,110.01,FALSE
"reputation",2017-11-10,"Dancing With Our Hands Tied",0.691,-6.686,0,0.196,0.0604,1.1e-05,0.284,160.024,FALSE
"reputation",2017-11-10,"Dress",0.469,-8.792,1,0.0533,0.0329,0,0.0851,120.085,FALSE
